שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°)
בית ג'מל מאוישת                                   ,7150,01-01-1990,-,-
בית ג'מל מאוישת                                   ,7150,02-01-1990,-,-
בית ג'מל מאוישת                                   ,7150,03-01-1990,-,-
בית ג'מל מאוישת                                   ,7150,04-01-1990,-,-
בית ג'מל מאוישת                                   ,7150,05-01-1990,-,-
בית ג'מל מאוישת                                   ,7150,06-01-1990,-,-
בית ג'מל מאוישת                                   ,7150,07-01-1990,14.6,8.5
בית ג'מל מאוישת                                   ,7150,08-01-1990,14.1,6.0
בית ג'מל מאוישת                                   ,7150,09-01-1990,12.1,7.0
בית ג'מל מאוישת                                   ,7150,10-01-1990,13.1,3.9
בית ג'מל מאוישת                                   ,7150,11-01-1990,12.8,5.7
בית ג'מל מאוישת                                   ,7150,12-01-1990,13.8,7.0
בית ג'מל מאוישת                                   ,7150,13-01-1990,14.4,9.4
בית ג'מל מאוישת                                   ,7150,14-01-1990,15.6,8.7
בית ג'מל מאוישת                                   ,7150,15-01-1990,14.1,8.9
בית ג'מל מאוישת                                   ,7150,16-01-1990,13.3,8.9
בית ג'מל מאוישת                                   ,7150,17-01-1990,14.6,8.9
בית ג'מל מאוישת                                   ,7150,18-01-1990,14.9,9.2
בית ג'מל מאוישת                                   ,7150,19-01-1990,17.4,9.6
בית ג'מל מאוישת                                   ,7150,20-01-1990,16.5,11.0
בית ג'מל מאוישת                                   ,7150,21-01-1990,11.4,9.0
בית ג'מל מאוישת                                   ,7150,22-01-1990,13.6,7.5
בית ג'מל מאוישת                                   ,7150,23-01-1990,12.0,7.8
בית ג'מל מאוישת                                   ,7150,24-01-1990,12.8,4.4
בית ג'מל מאוישת                                   ,7150,25-01-1990,14.0,5.9
בית ג'מל מאוישת                                   ,7150,26-01-1990,12.1,6.7
בית ג'מל מאוישת                                   ,7150,27-01-1990,13.6,6.8
בית ג'מל מאוישת                                   ,7150,28-01-1990,13.1,6.2
בית ג'מל מאוישת                                   ,7150,29-01-1990,17.4,5.5
בית ג'מל מאוישת                                   ,7150,30-01-1990,18.6,9.8
בית ג'מל מאוישת                                   ,7150,31-01-1990,21.2,11.4
בית ג'מל מאוישת                                   ,7150,01-02-1990,12.6,9.5
בית ג'מל מאוישת                                   ,7150,02-02-1990,14.2,8.3
בית ג'מל מאוישת                                   ,7150,03-02-1990,15.6,7.8
בית ג'מל מאוישת                                   ,7150,04-02-1990,16.5,6.4
בית ג'מל מאוישת                                   ,7150,05-02-1990,15.1,7.6
בית ג'מל מאוישת                                   ,7150,06-02-1990,12.9,8.8
בית ג'מל מאוישת                                   ,7150,07-02-1990,13.6,7.9
בית ג'מל מאוישת                                   ,7150,08-02-1990,16.7,7.3
בית ג'מל מאוישת                                   ,7150,09-02-1990,11.5,8.0
בית ג'מל מאוישת                                   ,7150,10-02-1990,11.9,7.5
בית ג'מל מאוישת                                   ,7150,11-02-1990,15.3,8.4
בית ג'מל מאוישת                                   ,7150,12-02-1990,15.2,10.1
בית ג'מל מאוישת                                   ,7150,13-02-1990,15.6,9.4
בית ג'מל מאוישת                                   ,7150,14-02-1990,18.5,9.0
בית ג'מל מאוישת                                   ,7150,15-02-1990,14.9,7.9
בית ג'מל מאוישת                                   ,7150,16-02-1990,19.7,12.8
בית ג'מל מאוישת                                   ,7150,17-02-1990,20.8,12.4
בית ג'מל מאוישת                                   ,7150,18-02-1990,13.4,8.7
בית ג'מל מאוישת                                   ,7150,19-02-1990,11.9,6.6
בית ג'מל מאוישת                                   ,7150,20-02-1990,13.9,5.6
בית ג'מל מאוישת                                   ,7150,21-02-1990,14.7,5.4
בית ג'מל מאוישת                                   ,7150,22-02-1990,15.0,6.6
בית ג'מל מאוישת                                   ,7150,23-02-1990,14.8,5.9
בית ג'מל מאוישת                                   ,7150,24-02-1990,14.0,7.4
בית ג'מל מאוישת                                   ,7150,25-02-1990,14.6,6.6
בית ג'מל מאוישת                                   ,7150,26-02-1990,16.7,6.9
בית ג'מל מאוישת                                   ,7150,27-02-1990,16.7,6.9
בית ג'מל מאוישת                                   ,7150,28-02-1990,18.2,7.0
בית ג'מל מאוישת                                   ,7150,01-03-1990,16.0,7.8
בית ג'מל מאוישת                                   ,7150,02-03-1990,16.3,8.8
בית ג'מל מאוישת                                   ,7150,03-03-1990,20.9,9.9
בית ג'מל מאוישת                                   ,7150,04-03-1990,19.4,10.3
בית ג'מל מאוישת                                   ,7150,05-03-1990,16.1,11.9
בית ג'מל מאוישת                                   ,7150,06-03-1990,13.1,8.2
בית ג'מל מאוישת                                   ,7150,07-03-1990,13.6,8.3
בית ג'מל מאוישת                                   ,7150,08-03-1990,16.9,6.8
בית ג'מל מאוישת                                   ,7150,09-03-1990,22.3,9.2
בית ג'מל מאוישת                                   ,7150,10-03-1990,21.3,14.0
בית ג'מל מאוישת                                   ,7150,11-03-1990,14.4,11.0
בית ג'מל מאוישת                                   ,7150,12-03-1990,14.6,9.0
בית ג'מל מאוישת                                   ,7150,13-03-1990,12.5,7.6
בית ג'מל מאוישת                                   ,7150,14-03-1990,16.7,10.7
בית ג'מל מאוישת                                   ,7150,15-03-1990,20.3,8.4
בית ג'מל מאוישת                                   ,7150,16-03-1990,22.0,12.9
בית ג'מל מאוישת                                   ,7150,17-03-1990,17.2,8.5
בית ג'מל מאוישת                                   ,7150,18-03-1990,19.2,9.0
בית ג'מל מאוישת                                   ,7150,19-03-1990,21.0,10.6
בית ג'מל מאוישת                                   ,7150,20-03-1990,22.7,10.9
בית ג'מל מאוישת                                   ,7150,21-03-1990,20.2,12.6
בית ג'מל מאוישת                                   ,7150,22-03-1990,22.0,13.5
בית ג'מל מאוישת                                   ,7150,23-03-1990,18.1,10.4
בית ג'מל מאוישת                                   ,7150,24-03-1990,18.4,10.0
בית ג'מל מאוישת                                   ,7150,25-03-1990,18.9,10.7
בית ג'מל מאוישת                                   ,7150,26-03-1990,19.2,9.4
בית ג'מל מאוישת                                   ,7150,27-03-1990,21.3,8.5
בית ג'מל מאוישת                                   ,7150,28-03-1990,22.5,8.5
בית ג'מל מאוישת                                   ,7150,29-03-1990,23.0,8.6
בית ג'מל מאוישת                                   ,7150,30-03-1990,20.5,10.0
בית ג'מל מאוישת                                   ,7150,31-03-1990,18.9,11.1
בית ג'מל מאוישת                                   ,7150,01-04-1990,13.7,8.5
בית ג'מל מאוישת                                   ,7150,02-04-1990,10.7,5.0
בית ג'מל מאוישת                                   ,7150,03-04-1990,14.6,4.9
בית ג'מל מאוישת                                   ,7150,04-04-1990,18.0,7.0
בית ג'מל מאוישת                                   ,7150,05-04-1990,19.5,7.0
בית ג'מל מאוישת                                   ,7150,06-04-1990,20.6,7.6
בית ג'מל מאוישת                                   ,7150,07-04-1990,21.5,10.9
בית ג'מל מאוישת                                   ,7150,08-04-1990,22.4,10.2
בית ג'מל מאוישת                                   ,7150,09-04-1990,19.3,14.9
בית ג'מל מאוישת                                   ,7150,10-04-1990,27.3,13.0
בית ג'מל מאוישת                                   ,7150,11-04-1990,33.4,20.0
בית ג'מל מאוישת                                   ,7150,12-04-1990,23.5,14.1
בית ג'מל מאוישת                                   ,7150,13-04-1990,23.9,13.9
בית ג'מל מאוישת                                   ,7150,14-04-1990,24.5,13.0
בית ג'מל מאוישת                                   ,7150,15-04-1990,19.1,11.7
בית ג'מל מאוישת                                   ,7150,16-04-1990,18.6,10.3
בית ג'מל מאוישת                                   ,7150,17-04-1990,21.8,10.5
בית ג'מל מאוישת                                   ,7150,18-04-1990,29.1,12.5
בית ג'מל מאוישת                                   ,7150,19-04-1990,30.0,18.4
בית ג'מל מאוישת                                   ,7150,20-04-1990,23.9,13.9
בית ג'מל מאוישת                                   ,7150,21-04-1990,24.1,13.6
בית ג'מל מאוישת                                   ,7150,22-04-1990,24.5,10.5
בית ג'מל מאוישת                                   ,7150,23-04-1990,33.5,16.0
בית ג'מל מאוישת                                   ,7150,24-04-1990,35.1,24.2
בית ג'מל מאוישת                                   ,7150,25-04-1990,34.9,25.5
בית ג'מל מאוישת                                   ,7150,26-04-1990,35.6,25.8
בית ג'מל מאוישת                                   ,7150,27-04-1990,34.7,24.5
בית ג'מל מאוישת                                   ,7150,28-04-1990,28.0,14.8
בית ג'מל מאוישת                                   ,7150,29-04-1990,22.0,12.4
בית ג'מל מאוישת                                   ,7150,30-04-1990,23.0,11.0
בית ג'מל מאוישת                                   ,7150,01-05-1990,20.1,12.7
