שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°)
בית ג'מל מאוישת                                   ,7150,01-01-1960,12.7,7.8
בית ג'מל מאוישת                                   ,7150,02-01-1960,10.5,6.3
בית ג'מל מאוישת                                   ,7150,03-01-1960,15.1,8.6
בית ג'מל מאוישת                                   ,7150,04-01-1960,19.1,9.5
בית ג'מל מאוישת                                   ,7150,05-01-1960,18.4,10.0
בית ג'מל מאוישת                                   ,7150,06-01-1960,17.0,10.6
בית ג'מל מאוישת                                   ,7150,07-01-1960,13.4,9.2
בית ג'מל מאוישת                                   ,7150,08-01-1960,15.5,11.0
בית ג'מל מאוישת                                   ,7150,09-01-1960,14.7,8.7
בית ג'מל מאוישת                                   ,7150,10-01-1960,17.9,8.0
בית ג'מל מאוישת                                   ,7150,11-01-1960,19.9,9.8
בית ג'מל מאוישת                                   ,7150,12-01-1960,26.0,13.5
בית ג'מל מאוישת                                   ,7150,13-01-1960,26.6,17.5
בית ג'מל מאוישת                                   ,7150,14-01-1960,27.2,14.9
בית ג'מל מאוישת                                   ,7150,15-01-1960,31.1,20.0
בית ג'מל מאוישת                                   ,7150,16-01-1960,22.5,13.4
בית ג'מל מאוישת                                   ,7150,17-01-1960,20.8,9.6
בית ג'מל מאוישת                                   ,7150,18-01-1960,28.9,11.9
בית ג'מל מאוישת                                   ,7150,19-01-1960,24.8,13.0
בית ג'מל מאוישת                                   ,7150,20-01-1960,18.0,10.1
בית ג'מל מאוישת                                   ,7150,21-01-1960,15.7,8.3
בית ג'מל מאוישת                                   ,7150,22-01-1960,13.0,9.6
בית ג'מל מאוישת                                   ,7150,23-01-1960,11.5,7.5
בית ג'מל מאוישת                                   ,7150,24-01-1960,12.5,4.0
בית ג'מל מאוישת                                   ,7150,25-01-1960,15.4,6.0
בית ג'מל מאוישת                                   ,7150,26-01-1960,12.3,8.0
בית ג'מל מאוישת                                   ,7150,27-01-1960,14.7,6.7
בית ג'מל מאוישת                                   ,7150,28-01-1960,15.0,7.1
בית ג'מל מאוישת                                   ,7150,29-01-1960,17.2,8.4
בית ג'מל מאוישת                                   ,7150,30-01-1960,16.0,9.9
בית ג'מל מאוישת                                   ,7150,31-01-1960,19.2,9.5
בית ג'מל מאוישת                                   ,7150,01-02-1960,22.4,10.9
בית ג'מל מאוישת                                   ,7150,02-02-1960,20.0,12.9
בית ג'מל מאוישת                                   ,7150,03-02-1960,13.2,7.3
בית ג'מל מאוישת                                   ,7150,04-02-1960,12.0,5.6
בית ג'מל מאוישת                                   ,7150,05-02-1960,10.2,6.4
בית ג'מל מאוישת                                   ,7150,06-02-1960,17.2,6.4
בית ג'מל מאוישת                                   ,7150,07-02-1960,20.0,7.9
בית ג'מל מאוישת                                   ,7150,08-02-1960,22.3,12.5
בית ג'מל מאוישת                                   ,7150,09-02-1960,18.6,10.7
בית ג'מל מאוישת                                   ,7150,10-02-1960,18.6,9.4
בית ג'מל מאוישת                                   ,7150,11-02-1960,19.5,9.0
בית ג'מל מאוישת                                   ,7150,12-02-1960,18.7,8.5
בית ג'מל מאוישת                                   ,7150,13-02-1960,21.4,8.6
בית ג'מל מאוישת                                   ,7150,14-02-1960,22.0,13.3
בית ג'מל מאוישת                                   ,7150,15-02-1960,23.3,12.8
בית ג'מל מאוישת                                   ,7150,16-02-1960,23.5,12.6
בית ג'מל מאוישת                                   ,7150,17-02-1960,26.6,13.7
בית ג'מל מאוישת                                   ,7150,18-02-1960,18.5,12.0
בית ג'מל מאוישת                                   ,7150,19-02-1960,24.4,10.5
בית ג'מל מאוישת                                   ,7150,20-02-1960,28.7,15.1
בית ג'מל מאוישת                                   ,7150,21-02-1960,21.6,13.3
בית ג'מל מאוישת                                   ,7150,22-02-1960,19.5,11.7
בית ג'מל מאוישת                                   ,7150,23-02-1960,21.5,9.4
בית ג'מל מאוישת                                   ,7150,24-02-1960,21.5,10.0
בית ג'מל מאוישת                                   ,7150,25-02-1960,18.0,12.4
בית ג'מל מאוישת                                   ,7150,26-02-1960,19.2,10.3
בית ג'מל מאוישת                                   ,7150,27-02-1960,21.5,9.5
בית ג'מל מאוישת                                   ,7150,28-02-1960,22.5,11.5
בית ג'מל מאוישת                                   ,7150,29-02-1960,18.0,10.8
בית ג'מל מאוישת                                   ,7150,01-03-1960,15.1,10.1
בית ג'מל מאוישת                                   ,7150,02-03-1960,15.9,8.5
בית ג'מל מאוישת                                   ,7150,03-03-1960,21.5,9.8
